University_Name,Alumni,Staff,Hici,N&S,PUB,PCP
Osaka University,17.2,0,6.5,18.9,49.4,15.6
KTH Royal Institute of Technology,0,13,9.2,12.8,36.8,27.6
Hokkaido University,10.4,15,6.5,16.1,42.3,16.6
Kyushu University,0,0,9.2,16.5,42.4,15.5
University of Porto,0,0,13,11.6,47.5,21.9
University of Colorado at Denver,0,0,14.6,21.4,48.1,16.1
University of Bologna,0,0,11.3,10.5,54.5,19.3
University of Tsukuba,0,17.6,0,14.6,37.6,16.9
Oregon State University,7.3,0,13,20.5,33,23.2
Vienna University of Technology,14.7,0,9.2,16.9,27,28.1
Complutense University of Madrid,16.4,0,0,9.2,46.5,16.9
Albert Einstein College of Medicine,0,0,9.2,15.1,28.1,31.5
Princess Nourah bint Abdulrahman University,0,0,14.6,2,44.6,19.9
Simon Fraser University,0,0,9.2,14.6,32.1,18.2
University of Connecticut,10.4,0,13,14.8,34.8,14.9
Paul Sabatier University (Toulouse 3),0,0,14.6,17.4,34.5,18
University of the Basque Country,0,0,6.5,13.5,38.6,20.7
University of Granada,0,0,15.9,6.6,43.4,16.4
University of Lille,0,0,9.2,10.5,39.2,14.5
Autonomous University of Madrid,0,0,6.5,10.5,39.2,21.2
Laval University,0,0,13,7.2,39.1,18
University of Victoria,0,0,14.6,10.2,30.5,19.3
Institut Polytechnique de Paris,20.1,15.4,0,7.3,27.2,26.9
Ecole Normale Superieure - Lyon,20.1,18.4,0,7.4,22.1,31.2
Autonomous University of Barcelona,0,0,0,11.1,44.9,26.9
University of Southern Denmark,0,0,9.2,10.8,41.2,18.5
National and Kapodistrian University of Athens,0,0,14.6,7.6,39.5,18.1
University of Florence,0,0,11.3,11.5,41.5,20.8
Pohang University of Science and Technology,0,0,9.2,14.3,29,31.9
Dalhousie University,11.6,0,11.3,9,34.6,20.3
University of Trento,0,0,17.2,9.1,31.6,25.1
La Trobe University,0,0,9.2,11.3,34.9,26.7
University of St Andrews,9,0,11.3,16.7,25.6,22
University of Genoa,0,0,15.9,4.9,36.7,21.5
The University of Texas Health Science Center at Houston,0,14.1,9.2,12.4,32.3,14.6
Western Sydney University,0,0,17.2,9,32,23.2
Brandeis University,22.6,11.3,0,14.4,17.6,26.8
The George Washington University,10.4,0,6.5,14.6,36.7,20
University of Illinois at Chicago,0,0,11.3,11.1,41.7,16.6
University of Cincinnati,0,0,9.2,13.7,41.8,15.9
Indiana University-Purdue University at Indianapolis,0,0,15.9,9,39.7,13.5
University of Nebraska - Lincoln,14.7,0,11.3,12.4,31.7,17.8
Ben-Gurion University of the Negev,0,0,9.2,10.9,34.6,21.5
Swedish University of Agricultural Sciences,0,0,13,9,29.1,29
Florida State University,0,0,11.3,15.7,36.3,19.3
University of Tasmania,0,0,15.9,13.1,31,25
University of Miami,0,0,6.5,12.8,41.2,20.8
James Cook University,0,0,14.6,13.8,24.8,26
University of Wollongong,0,0,14.6,13.4,33.6,26.5
Cairo University,17.2,0,0,4,43.2,19.1
University of York,0,0,9.2,16,34.7,21.6
Lancaster University,0,0,13,12.9,31.3,20.4
University of Leicester,0,0,11.3,12.3,33.2,23.5
Queen's University Belfast,16.4,0,11.3,9.9,32.8,20.3
Durham University,0,0,13,12.7,36,19.9
RMIT University,0,0,14.6,8,38.1,22.9
University of Macau,0,0,17.2,2.5,39.6,28.9
Hanyang University,0,0,15.9,6.6,42.1,18.9
University of Milano-Bicocca,0,0,11.3,9.1,37.5,23.7
Anhui University,0,0,14.6,6.4,37.5,13.7
University of Shanghai for Science and Technology,0,0,15.9,4,37,15.6
Nanjing Agricultural University,0,0,15.9,8.6,40.8,16.9
University of the Witwatersrand,16.4,0,6.5,13.2,37.1,17.6
University of Marburg,7.3,0,11.3,13.5,27.7,30
University of Duisburg-Essen,0,0,11.3,10.9,33.3,27
University of Stuttgart,17.2,0,9.2,11.7,26.5,31
Vrije Universiteit Brussel (VUB),17.2,0,9.2,8.9,32.7,29
University of Antwerp,0,0,11.3,11.3,37.6,30
Pompeu Fabra University,0,0,11.3,15.9,27.8,32.2
University of Potsdam,0,0,11.3,14.3,30.6,33.7
East China University of Science and Technology,0,0,15.9,7.4,42.1,17.2
Northwest A&F University,0,0,14.6,7.7,41.8,14.6
Nanjing University of Science and Technology,0,0,13,4,46.9,16.3
Jiangnan University,0,0,11.3,5.2,47.4,17.2
Keio University,0,0,13,17,35,17.4
Yangzhou University,0,0,11.3,4.5,46.8,14.8
